seller_id2,seller_id3,seller_id5,seller_id9,seller_id10,seller_id11,seller_id12,seller_id13,seller_id14,seller_id15,seller_id16,seller_id17,seller_id18,seller_id20,seller_id1,seller_id6,seller_id7,seller_id8,seller_id19
1052294.6716917923,906104.7163704259,98626.09571053683,21954307.971505735,6664294.448079448,105530.65859730709,1177192.242937229,6988193.735017091,7906039.431649825,1799643.9411080242,145066.4972921956,6161454.66892741,773373.4825943813,36191.31457961026,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,31342.633974753193,58862.9993653793,58904522.80948538,16571508.637055833,11705.339221370114,1393143.4933061742,8457656.426123742,6236400.504654682,1896982.7307115614,239512.87981599174,2143632.5441055223,676228.6902179079,27702.603583889762,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,61638.57912281911,125475.51000000883,33407034.83972129,8546371.282542055,25818.247224298095,636130.564817826,7529321.238449884,7736852.855058204,2673558.8482745723,300972.73112134077,2653702.9742916455,880984.6354653572,32777.44295416468,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,1487265.7304284682,107975.8116902725,124542978.4983146,24116510.18257899,35731.35018940063,872875.875428151,13021617.30343843,6403056.796441099,2230368.1078158366,322919.293478727,3621698.79693876,728473.035725189,23025.54512302636,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,27551.487768709787,87707.55873434166,55301072.4302577,7597074.957771178,15719.503573175607,730796.603701497,8431782.013473675,10975117.692248005,1802207.2371775475,190354.024855646,1927847.9871044063,648050.08677595,30714.191203767154,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,217513.39914670138,78074.23772649327,72918795.3036817,12961189.451001417,30271.42521147808,637535.1176718356,14864682.966794118,5918486.037109625,1084834.697620452,149541.43100066486,1014755.189129028,1030501.3268871792,28084.644601884484,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,14576.295819443128,69962.9904408071,76948840.835254,8604969.283604676,54693.367919560806,648713.4522896018,8243533.1935264515,6440077.3369907215,1706599.8297702556,147026.2405019316,3251801.0703018205,578884.7795567248,28291.464591477077,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,9811.262879402153,87467.86610376765,16641788.347255424,5040894.564609134,114031.68108797808,436337.6977948231,13867963.807399306,5811488.40751133,2865815.651180241,139971.02330642927,3176331.163869942,634890.4466176736,34059.14633106785,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,50234.83347921657,93320.52574301133,19058038.77264329,16403832.728993502,59588.44692812066,1265695.8318208035,11247186.115549857,9431855.89653918,1728342.0118385637,205679.45563312777,2657979.753538263,797465.2994707967,34558.1135882781,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,25152.392145229736,68201.41832932876,67766257.08014888,9954421.094758878,11778.049485001675,1067333.745579033,16289771.46218211,6819789.19538484,2200418.2575831953,163334.1538606834,3310526.0940069957,661098.2831682501,29282.962120004104,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,271481.87843101576,120088.53010371454,79755333.19155152,13196722.54296868,20412.457716260127,574632.1630582836,12953602.155798959,8828160.728596732,2970601.0353769977,286580.8222109708,1947210.4946864778,780040.8318271992,37009.76171149472,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,199279.1872357234,102821.87608513705,126760407.64846174,19686885.74182187,31176.09121776145,724581.9322620257,20463134.126250144,7157520.814636332,2505523.5534417895,259021.30403652464,3323432.4428364267,757124.3266891326,23813.412928588317,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,122070.05083605499,91161.98118204693,37717163.49694174,9485877.550234653,13146.908386112687,630660.1800261522,14722528.31157755,12393992.931168241,2021250.6737659203,164772.18939879086,1715522.051910666,615657.2971616474,32067.314377799503,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,471084.55282989703,67966.07964063535,43046993.33545069,12124797.41789289,25729.76533761924,538092.2984277306,25001685.277581044,6651499.147274836,1218284.1639861676,118469.85439536176,1032475.3581517369,822869.0892584057,29303.07627895735,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,75977.79839149183,75911.58000125755,132527311.57172875,9740937.542258989,46112.61605361077,551918.8603539107,16082498.830550106,7255694.86098025,1917819.4294474071,163808.6486446823,3375458.5785451066,607300.1799857363,26698.96091185711,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,44061.75452691741,89060.7503087672,41973625.6684599,5004220.333937828,96325.22625918832,368658.9382205988,22896863.054752618,6540510.1149925785,3222826.9099953445,136917.12571959666,1576632.0399587357,698668.5240745335,29330.550638040007,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,2005966.0934833372,97748.36766583122,43582654.414675,17728493.140740655,50224.065267885584,1069850.762907605,19307378.416331336,10622169.369473027,1945129.5668311878,220774.98012272085,1845674.1484241541,858748.1718031882,30879.85019247554,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,117153.00510607394,70553.45413900881,147386881.1026266,10128624.527679088,9922.081947732257,899282.6419452222,29140970.40893989,7679108.307044369,2478278.747581421,157223.90799880022,1917774.1358026455,714614.8300540616,25957.808830835253,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,322621.9061358802,125803.94309067857,150939915.64108378,13937606.23543478,17174.952828031343,483475.8361312761,22719423.835124277,9942901.623937568,3348237.443722648,290064.5059841507,1243417.5322532456,849973.1964689203,32569.6056677496,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,3981489.5759932366,107803.86304126595,285764766.72178346,20212442.16127421,26207.214400743025,608235.6144614755,35350506.02400268,8061600.227107739,2826162.949311021,255609.65840755653,2047420.7228756328,814913.7914132411,21130.99841115513,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,146240.82479313147,95009.02301339331,92592529.04374652,9893772.749096729,11039.98852180306,528411.1349280262,26099371.960766066,13961373.891129967,2281632.6658264827,164517.61485486207,1054911.929832649,667394.4991891047,28415.380784027577,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,1011482.4178128992,71714.45309806117,109378016.99669449,12472569.927794222,21584.83092441127,449914.67781467387,44143598.47811131,7493315.203134664,1376261.5437300303,116778.08618405716,619726.3198388953,904164.4543888067,25963.26739376077,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,80881.8783736246,78911.47995315526,273855788.4604689,10081104.574183535,38644.81903637704,460566.827872269,29402077.828803066,8174874.932994482,2168137.9930667435,169829.21123856504,2008851.5366707018,653518.4458118157,23868.388038862347,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,53234.24035186551,92999.81031509435,80876631.45984836,5141304.948868838,80644.36779630788,307017.31038922444,40578196.688868925,7369812.775489006,3646221.243710694,139296.95025839435,1036232.4851229244,749188.9852206971,26437.30773627958,7900.0,3901446.875,,2299965.1032531825,2505000.0
1052294.6716917923,418957.31055446167,101889.60664715516,86121264.90711497,18244499.266588863,42005.559974534146,889187.8734004739,34628122.84550057,11970248.82322751,2202324.9596440475,227771.03581097617,1150212.4133860446,922532.7555071966,27730.439209573848,7900.0,3901446.875,,2299965.1032531825,2505000.0
